hiragana,romaji_sound,hira_example,hira_romaji,meaning,meaning_malay,reference,filename
あ,a,あめ,ame,candy,gula-gula,飴,a
い,i,いえ,ie,house,rumah,家,b
う,u,うさぎ,usagi,rabbit,arnab,兎馬,c
え,e,えき,eki,train station,stesen keretapi,駅,d
お,o,おに,oni,demon,jin/iblis,鬼,e
か,ka,かたな,katana,sword,pedang,かたな,f
き,ki,きもの,kimono,kimono,kimono,きもの,g
く,ku,くま,kuma,bear,beruang,熊,h
け,ke,けっこん,kekkon,marriage,perkahwinan,結婚,i
こ,ko,ことば,kotoba,words,perkataan,言葉,j
さ,sa,さしみ,sashimi,sashimi,sashimi,刺身,k
し,shi,しお,shio,salt,garam,塩,l